# concept_id	english_anchor	gloss
c1236	close	noun
c1237	close	adj
c1238	picosecond	noun
c1239	know	verb
c1240	indian	adj
c1241	indian	noun
c1242	o'clock	adv
c1243	mither	verb
c1244	create	verb
c1245	outdoors	adv
c1246	outdoors	noun
c1247	phillumenist	noun
c1248	efficacy	noun
c1249	couch potato	noun
c1250	dilettante	noun
c1251	dilettante	adj
c1252	kill	verb
c1253	kill	noun
c1254	buy	verb
c1255	drug	noun
c1256	drug	verb
c1257	after	adv
c1258	after	
c1259	next	adj
c1260	next	adv
c1261	next	
c1262	next	noun
c1263	defer	verb
c1264	absinthe	noun
c1265	finnish	adj
c1266	finnish	noun
c1267	stylus	noun
c1268	catalan	noun
c1269	catalan	adj
c1270	give	verb
c1271	dare	verb
c1272	dare	noun
c1273	banana	noun
c1274	paralipsis	noun
c1275	deoxyribonucleic acid	noun
c1276	protester	noun
c1277	eleven	
c1278	twelve	
c1279	bomb	noun
c1280	bomb	verb
c1281	henna	noun
c1282	brazilian	noun
c1283	brazilian	adj
c1284	catalonia	
c1285	cayman islands	
c1286	england	
c1287	jacobian	adj
c1288	jacobian	noun
c1289	kindling	noun
c1290	pulpit	noun
c1291	church	noun
c1292	small	adj
c1293	minuscule	noun
c1294	minuscule	adj
c1295	nuisance	noun
c1296	supersede	verb
c1297	mental	adj
c1298	tomato	noun
c1299	union of soviet socialist republics	
c1300	cherry	noun
c1301	cherry	adj
c1302	japanese	adj
c1303	japanese	noun
c1304	slovene	adj
c1305	slovene	noun
c1306	bench	noun
c1307	bench	verb
c1308	solar system	noun
c1309	academician	noun
c1310	beige	noun
c1311	beige	adj
c1312	blue	adj
c1313	blue	noun
c1314	blue	verb
c1315	magenta	noun
c1316	magenta	adj
c1317	mauve	noun
c1318	mauve	adj
c1319	pink	noun
c1320	pink	adj
c1321	pink	verb
c1322	purple	adj
c1323	red	noun
c1324	violet	noun
c1325	violet	adj
c1326	white	adj
c1327	white	noun
c1328	yellow	noun
c1329	yellow	adj
c1330	yellow	verb
c1331	grapefruit	noun
c1332	citrus	noun
c1333	prime number	noun
c1334	fourth	adj
c1335	fourth	noun
c1336	third	adj
c1337	third	noun
c1338	third	verb
c1339	fifth	adj
c1340	fifth	noun
c1341	ontology	noun
c1342	metaphysics	noun
c1343	sars	noun
c1344	chinese	adj
c1345	chinese	noun
c1346	trumpet	noun
c1347	trumpet	verb
c1348	tuba	noun
c1349	cowbell	noun
c1350	clapper	noun
c1351	cane	noun
c1352	cane	verb
c1353	tempo	noun
c1354	sixth	adj
c1355	sixth	noun
c1356	seventh	adj
c1357	seventh	noun
c1358	eighth	adj
c1359	eighth	noun
c1360	ninth	adj
c1361	ninth	noun
c1362	tenth	adj
c1363	tenth	noun
c1364	duel	noun
c1365	duel	verb
c1366	italian	adj
c1367	italian	noun
c1368	musical	adj
c1369	musical	noun
c1370	soccer	noun
c1371	football	noun
c1372	yourself	
c1373	yours	
c1374	your	
c1375	younger	adj
c1376	young	noun
c1377	yet	adv
c1378	yet	
c1379	copacetic	adj
c1380	wrought	adj
c1381	wrong	adj
c1382	wrong	adv
c1383	wrong	noun
c1384	wrong	verb
c1385	heinous	adj
c1386	written	adj
c1387	writer	noun
c1388	write	verb
c1389	wring	verb
c1390	weave	verb
c1391	weave	noun
c1392	wound	noun
c1393	wound	verb
c1394	would	verb
c1395	worthwhile	adj
