# lang=nl
woordenboek	dictionary
ingeven	to feed
ingeven	to suggest, prompt, inspire
aandenken	an instance of calling to mind or remembering
aandenken	a keepsake, object recalling a memory
aandenken	attention
opkijken	to look (in an) up(ward manner); to lift one's eyes
opkijken	to admire, respect, look up to
initiatief	initiative
onderarm	forearm, lower half of the arm, from elbow to hand
nazisme	Nazism
Olympische Winterspelen	the Olympic Winter Games
sluiter	one who closes, notably any person who closes up, locks or guards something/somewhere; especially
sluiter	the camera part shutter
sluiter	a brake shoe
projecteren	to project, to cast an image
projecteren	to project
handboei	handcuff
heterogeen	heterogeneous
oudoom	a great-uncle, brother of one's grandparent, uncle of one's parent
oudoom	any old man, gramps
suïcidaal	suicidal
wandaad	a misdeed; in legal jargon, a less serious category of crime
tekenend	characteristic, typical
stabiliteit	stability
instabiliteit	instability
kandidatuur	candidacy
inwerkingtreding	coming into force (e.g. of a treaty)
massaal	massive
massaal	massively, en masse
locatie	location
ratificatie	ratification
gewacht	waiting
wachtende	waiter
schermen	to fence
schermen	to protect, to shield
afwisselend	alternating
afwisselend	varied
hoofdkwartier	headquarters
samenkomen	to come together, to meet, to assemble
presiderend	presiding
exclusief	exclusive
exclusief	exclusively
aangroei	increase
verstrekken	to procure, provide
spreiding	dispersal
centralisatie	centralization , centralisation
betoger	demonstrator
concentratie	concentration
financieren	to finance
ambitieus	ambitious
renovatie	renovation
toetreding	accession
regendruppel	a raindrop, drop(let) of rainwater
tektonisch	tectonic
cynisme	Cynicism
cynisme	cynicism, cynical attitude
pessimisme	pessimism
herbergen	to lodge (to supply with a room or place to sleep in for a time)
secretariaat	a central office in any business or institution (or a department thereof), responsible for correspondence, making appointments, and general administrative support
secretariaat	secretariat
collectivisme	collectivism, an ideological system in which the means (of production) must be owned and controlled by people collectively
stoomlocomotief	a steam locomotive, locomotive powered by steam engine
escapisme	escapism (inclination to escape)
favoriet	favourite, preferred
favoriet	favourite, tipped to win
favoriet	favourite, preferred one
mutageen	mutagenic
mutageen	mutagen
fopspeen	pacifier
bezorgdheid	anxiety, concern
decentraliseren	to decentralize, to decentralise
centraliseren	to centralize , to centralise
uitwijken	to divert oneself
uitwijken	to emigrate
slakkengang	a snail's pace, a very slow pace
trombocytopenie	thrombocytopenia
plenair	plenary
pluviograaf	a pluviograph, self-registring pluviometer
zitting	meeting, session
zitting	seat (of a chair)
administratief	administrative
commissaris	commissioner
stedelijk	urban, civic
dienstverlening	(provision of) services
concentreren	to concentrate
concentreren	to concentrate , to focus
voetafdruk	footprint
overdekken	to cover
onttrekken	to withdraw
onttrekken	to abstract, extract (e.g. extract by means of distillation)
visueel	visual
faciliteit	facility, the physical means or contrivances to make something (especially a public service) possible; the required equipment, infrastructure, location etc.
faciliteit	an accommodation or easing, such as relaxation of rules
embleem	emblem
polemiek	a polemic
grondlegger	founder, progenitor
gedetailleerd	detailed
eeuwwende	the turn of a century, when its 100 years end and it gives way to the next
seismograaf	a seismograph, scientific device to read and record seismic vibrations
bacterieel	bacterial
authentiek	authentic
haveloos	shabby
bliksems	darn!
bliksemen	to flash (lightning)
geniepig	sneaky, cunning, sly
flikker op	bugger off
paardenlul	dickhead
paardenlul	horse cock
paardenlul	equine dick, horse penis
herderin	shepherdess
kerkstuk	church play/skit
onheilspellend	ominous
vertwijfeld	desperate
sletterig	slutty, whorish
slet	rag, cloth
frivool	frivolous
frivool	frivolously
verrekt	damnedhttp://books.google.com/books?id=ilTCY6hePRkC&pg=PA82&lpg=PA82&dq=flikker+op+bugger+off&source=bl&ots=_VCIVqwMoy&sig=uKEAjPcLf-eDN468G2xhlEts3fo&hl=en&ei=NZwISvi8LY3AMs7L4aID&sa=X&oi=book_result&ct=result&resnum=1#PPA241,M1
klakkeloos	unthinkingly
mateloos	immoderate, excessive
mateloos	immoderately, excessively
mateloos	immensely, to no end
fictief	fictional
redevoering	speech
proza	prose
Helleens	Hellenic
inhoudelijk	substantive
inhoudelijk	substantively (concerning content)
Atheens	Athenian
uitvaart	internment, funeral
gezind	inclined, of a certain disposition
voordat	before
uitzonderlijkheid	exceptionality
onverholen	overt
hijzelf	himself
documenteren	to document
biografisch	biographical
overleveren	to hand down
scherpzinnig	perspicacious, astute
speculatie	speculation, conjecture
speculatie	financial speculation
sterfjaar	year of a person's death
holbewoner	troglodyte, any cave-dweller, e.g. cave man or cave-dwelling animal
knoflook	garlic (: the plant or its bulb, used in cooking)
trompettist	trumpeter
lopend	current, ongoing
lopend	running, on the move
omloop	circulation
omloop	(usually in the diminutive) paronychia
overloop	transition
overloop	a landing, corridor between rooms on the upper floor of a house
overloop	overflow, outlet for excess matter
overlevende	survivor
melancholiek	melancholic
gebaren	to gesture, to point, to gesticulate
gebaren	to sign (to use sign language)
manueel	manual
genereren	to generate
driedimensionaal	three-dimensional
VGT	Vlaamse Gebarentaal &equiv; Flemish sign language
universeel	universal
regionaal	regional
mijlpaal	milestone
mijlpaal	milepost, milestone
verdrukking	oppression
combineren	to combine
21e	; 21st
21ste	eenentwintigste
beknopt	concise
memoriseren	to memorize (US), memorise (UK)
onderrichter	instructor
accuraat	accurate
accuraat	punctual
doorzetten	to persevere, pull through
doorzetten	to persist
doorzetten	to continue, to push on with
aanreiken	to pass, to hand over
overlevering	(a piece of) oral tradition, lore/folklore: a story that is handed down, whose veracity is stronger than that of a legend
boedel	estate (movable estate, not real estate)
adellijk	noble
aanleren	to learn
aanleren	to teach
opmars	advance, march
implantaat	implant
verwerving	acquisition
auditief	auditory
lokalisatie	localization
benedictijner	Benedictine
teneur	tenor, course of thought
waarlijk	truly
erfelijk	hereditary
doofheid	deafness
sociolinguïstisch	sociolinguistic
dovenschool	school for the deaf, where sign language is used
omgekeerd	reverse, reversed
omgekeerd	vice versa
denominatie	a denomination, designation
denominatie	a denomination; an organised religious association, an organised faction or formal ideological tendency
denominatie	a monetary or other financial denomination, the nominal value on a coin, banknote, stock or bond
stokhaver	a caning, load of blows with a stick or similar implement
stokbewaarder	a jailer, notably one which carries a cane‐like instrument to prod or discipline prisoners, as usual in Antiquity and feudal era
Brusselaar	an inhabitant of Brussels, the capital city of the EU, Brabant (duchy and former province), Flanders (modern region) and Belgium
Brusselaar	an inhabitant of the Brussels Hoofdstedelijk Gewest, the smallest of Belgium's three federative regions
halfbroer	half brother
stiefbroer	the son of one's stepparent who is not the son of either of one's biological parents
bool	a type of fat clay
mangoeste	mongoose, any member of the family
afwerking	completion, finishing
afwerking	the way in which something is finished
kuise	a chast, prudish or prudent one
wetsbreker	a lawbreaker
gehandicapte	one who is handicapped
dynastiek	dynastic, relating to a dynasty
dictatuur	dictatorship
Caraïbisch	Caribbean
Caribisch	Caribbean
Caribisch	Cariban
kiek	a snapshot, photograph; originally specifically used for a group scene and/or shot by an amateur photographer
kiek	a chick, young of a domestic fowl or other bird
pluimage	the plumage of a bird
pluimage	an object made of feathers, mostly ornamental; also a duster
pluimage	one's nature, typological category; notably in the expression van divers pluimage ('of varied types')
mogendheid	power, powerhouse
mogendheid	power, might
precolumbiaans	pre-Columbian
gaan over	to be about
behoud	preservation, conserving, conservation
behoud	salvation
behoud	conservatism, orthodoxy
behoudend	conservative
protectoraat	protectorate
revolutionair	revolutionary
mislukt	failed
getrouwe	a loyal servant, follower or associate, a true person (i.e. who is faithful, loyal)
getrouwe	a bosom friend
savanne	savanna
vernietigd	destroyed
als ook	as well as
kasuaris	cassowary
geleedpotige	arthropod, any member of the phylum
lendendoek	loincloth
cassave	cassava
zitje	a small social gathering at someone's home
kalebas	calabash, gourd, squash
afdekken	to cover
afdekken	to clear
oorlogvoerend	belligerent
rijke	a rich one
rijke	a wealthy person
Jan Modaal	John Q. Public, Joe Average, a hypothetical individual personification of the average (generally working-class) consumer, with an average income
splenectomie	splenectomy
onbetwist	undisputed
onbetwist	undisputedly
arsenicum	arsenic
zirkoon	zircon
zirkoon	zirconium
zirkoon	a zircon crystal
antimonium	antimony
lanthaan	lanthanum
lanthanium	lanthanum
tantalium	tantalum
tweeling	a pair of twins; said of people and other mammals
tweeling	each of two twin siblings
tweeling	a vegetal or object equivalent, e.g. an identical fruit pair
euh	er, erm, um, uh; used as a space filler or pause during conversation
euh	er, erm, um, uh; used to express hesitation, confusion, or doubt
euh	er, erm, um, uh; used to express embarrassment or subtle disagreement
grasveld	field, lawn
origineel	original
jaden	jade, jaden
gieting	casting (e.g. a mould)http://www.youtube.com/watch?v=hZgcvUdYf9o
beiaard	carillon
gieterij	foundry
gieterij	the act of pouring
violiste	female violinist
altoos	always
volgzaam	obedient, docile
bewustheid	consciousness
verstandigheid	understandinghttp://www.bibliaonline.com.br/ylt+dutch/pv/2
verstandigheid	good sensehttp://mpra.ub.uni-muenchen.de/4088/1/MPRA_paper_4088.pdf
voorzichtigheid	caution, prudence, foresight
omzichtigheid	cautionhttp://mpra.ub.uni-muenchen.de/4088/1/MPRA_paper_4088.pdf
alpenhoorn	alphorn
heilstaat	an ideal state, a utopia, in particular a socialist utopia
heilstaat	the state of salvation
koningspinguïn	king penguin ()
ezelspinguïn	gentoo penguin
keizerspinguïn	emperor penguin
socioloog	sociologist
filosofisch	philosophical
positivisme	positivism
positivisme	positivity
onverenigbaar	incompatible
rotsvast	rock-solid
rotsvast	firmly
onlosmakelijk	indissoluble
verbond	alliance, federation (between countries)
verbond	union, association (people with a common cause)
volgeling	follower
diepgaand	profound, thorough, probing
hebzuchtig	greedy
goldrush	gold rush
bovenkleed	a cloth upper garment
bovenkleed	a robe
academisch	academic
trommelaar	drummer, percussionist
trommelaar	someone who drums (nervously) with his fingers
trommelaar	an animal which drums, drills or makes a similar sound, notably a woodpecker, a cockroach and a trumpeter (trumpeter pigeon)
zwabbergast	a cabin-boy; a junior sailor, especially an apprentice, who does most of the chores, such as mopping
tot straks	see you later (implies that you will see the person later the same day)
gynocide	femicide
geleiden	to escort, to accompany
geleiden	to guide
geleiden	to give guidance
elastisch	elastic
weetje	tip; a fun fact, an interesting bit of trivia
weetje	a fact
onverschillig	indifferent
dagenlang	for days
dagenlang	lasting days (on end), dayslong
goddelijkheid	divinity, divineness
vormloos	formless, shapeless
heelal	universe
vanzelf	automatically
octaaf	octave
deelbaar	divisible
Ardenne	Ardennes
activeren	to activate, put into action; render (more) active
activeren	to enable
distributie	a distribution, the act, process or an instance of distributing or being distributed, including the marketing and logistic senses of wide deliveries
distributie	publicly controlled assignment/delivery of restricted goods, notably under rationing
distributie	an agency in charge of the above
planetoïde	asteroid
zeerover	a pirate, a robber who plunders at sea
Assamitisch	Assamese (language)
wandtapijt	tapestry
zee-egel	a sea urchin, any of many marine echinoderms of the class
miauwen	to meow, make a feline's gentle, yet shrill type of cry
koningsmoord	regicide, the killing of a king or other ruler
somatotrofine	somatotropin
paganisme	paganism
toeriste	tourist (female) (see toerist for definitions)
luzerne	alfalfa, lucerne
klinisch	clinical
fregat	a frigate, a type of (once sailing, small but fast three-mast) warship, applied to progressively larger types in time, since 1943 mainly escort ships
Ripuarisch	belonging or relating to the Ripuarian Franks
Ripuarisch	in or relating to the Ripuarian dialect
Ripuarisch	Ripuarian, the West Germanic dialect of the abovementioned Frankish tribes
kruisridder	a crusader, a knight who participated in the crusades
tempelridder	a Knight Templar (knightly member of the Templar order)
Palestijn	a Palestinian, inhabitant of Palestine or member of its Arab diaspora
Filistijn	a Philistine, member of a Biblical non-Semitic people which subdued the Jews in Philistia (hence the name of present Palestine)
Filistijn	a philistine, barbarian, heathen
fluweelzacht	velvety, as soft as velvet
synthetiseren	to synthesize, make a synthesis, summarise
synthetiseren	to (re)produce synthetically, e.g. using substitute ingredients
omwentelingslichaam	surface of revolution
veeteelt	husbandry, the raising of livestock
-rice	female form of
Mokveld	a family surname
ineffectief	ineffective
Kazach	Kazakh person
fregatvogel	a frigate bird, the species or another rapacious seabird of the family
zeevogel	a seabird, one of any marine species of birds
Serviër	an inhabitant of Serbia, formerly in Yugoslavia
brandstichten	to start a fire, to set fire to something, to commit arson
Dalmatiër	an inhabitant of Dalmatia, an Adriatic coastal region, presently in Croatia
Dalmatiër	a member of the Dalmati, a people which lived there in Antiquity, before the Slavic immigration
tijgerhaai	tiger shark ()
steenezel	ass, stupid person, especially one who won't learn
steenezel	common donkey
psychologisch	psychological
psychisch	psychical, mental
inwoner	inhabitant
arrè	exclamation used for emphasis, when giving something to someone, commenting etc.
Georgisch	Georgian
hernieuwen	to renew
buurland	neighboring country
fittie	a fight, especially on social media
Finse	Finnish woman
oudere	elderly person, senior citizen
vazalstaat	a vassal state
koningschap	kingship
Georgiër	Georgian (person from the country of Georgia)
anarchisme	anarchism
anarchisme	anarchy
spaarzegel	a saving-stamp, carrying a percentage of a savings coupon
spaarzegel	a stamp used as proof that an installment was deposited in a financial scheme to save up
vingerring	a finger ring, designed to be worn on a finger
biep	a beep or bling, such sound, notably made as a signal by a beeper or any automatic - or control device
zegelen	to affix a seal or stamp
zegelen	to seal up, close, using (a) seal(s)
zegelen	to attach a (seal of approval or other) quality - or similar mark
vuurvast	fireproof
vuurvast	with fairly great heat tolerance; fit for use in cooking, refractory, ovenproof
Oost-Vlaams	East Flemish, from or relating to East Flanders, a Belgian province, in the eastern part of the historic countship of Flanders
Oost-Vlaams	in or relating to the East Flemish dialects
Oost-Vlaams	East Flemish, a (rather artificial, by analogy with West-Vlaams) group of Flemish dialects of the Dutch language in the eastern part of the historic countship of Flanders (now in Belgium and, further south/west, France)
schudding	an instance or the action of shaking, trembling
schudding	a beating, hard enough to make the victim twitch in pain; figurative, a scolding
schudding	a shake, twitch, vibration
kwartetten	to play the card game kwartet
denkfout	thinking error
gevoel	feeling, emotion
konings	royal
konings	excellent
theorema	theorem
Assamees	Assamese, in, from or relating to the NE-Indian state Assam or the feudal realm it's named after
Assamees	an Assamese, inhabitant of the NE-Indian state Assam or the feudal realm it's named after
Assamees	a member of the etno-cultural Assamese people
pervers	perverse
Luxemburger	a , citizen or descendant of either territory or city named Luxemburg
Luxemburger	of or from Luxemburg
opdagen	to show up, to appear
opdagen	to summon, to subpoena
eikenboom	oak tree
notenboom	nut tree, especially walnut tree
akelig	unpleasant, eerie
akelig	nasty, unfriendly
klooien	to (give a) beat(ing)
klooien	to mess around
klooien	to sleep with, i.e. share the bed, with; to fuck
klooi	a dork, jerk, nobody
klooi	a bumbler, loser
geflikflooi	(originally) Continuous flattery, sycophancy
geflikflooi	dubious business, muddling
wroeten	to root, to grub
wroeten	to burrow
geplaag	teasing
glunderen	to beam (with joy)
waterhoen	common moorhen
waterhoen	moorhen
wonderkind	child prodigy, wunderkind
wonderkind	miraculously born child
acrylzuur	the substance acrylic acid
zwavelzuur	a sulfuric acid, an oxide of sulfur; notably
puntmuts	a pointed cap
idealisme	idealism
aarsmade	The parasitic threadworm or pinworm (), which lives in human intestines.
kietelbeurt	"turn to be tickled", i.e. round of tickling
zwanger	pregnant
zwanger	expecting a baby together
in verwachting	pregnant, expecting
als volgt	as follows
comateus	comatose
co-enzym	coenzyme
cursiefje	a small column (in a newspaper) about everyday situations
sjabrak	saddlecloth
geestdodend	mind-numbing
dodend	killing, deadly
gluiperig	sneaky, underhanded
micronatie	micronation
ministaat	ministate, microstate
herleving	revival
soeverein	sovereign
simulatie	simulation
recommandatie	recommendation
belichten	to illuminate
belichten	to expose
sticht	bishopric
sticht	monastery
sticht	building, edifice
humoristisch	humoristic, humorous
gradatie	gradation
wedijveren	to compete, to vie
diplomatiek	diplomatic
geraken	to reach, to attain
geraken	to end up
geraken	to touch
redemptorist	a Redemptorist
monnikskap	A monk's hood, part of his habit.
monnikskap	aconite, monkshood
naleven	to observe, live by, respect (a rule, etc.)
naleven	to live on, have an afterlife, be continued after one's own time
naleven	a continued existence in a reduced form, a state of living on in a lesser form
vragelijk	questionable; dubious
kiesdistrict	a constituency, a district for the purpose of electoral representation
lichaamstaal	body language
lichaamshouding	a pose, physical position of one's body
lichaamshouding	one's bearing, general physical attitude
binnenlands	interior, within a country, national, domestic
binnenlands	inland, removed from coast/borders
kunstbeen	artificial leg
Hoge Porte	the Sublime Porte, pars pro toto for the Ottoman sultanic court, notably in Topkapi palace, hence for the imperial government, notably the vizierial divan and the entire empre
tittel	tittle, a small dot
tittel	tittle, a small detail
Oekraïense	a Ukrainian woman
aanwezen	presence
aanwezen	existence
voorronde	qualifying round
gedaagde	a summoned person, be it a party, witness or other
dagge	a dagger; probably also a spit
dagge	a jointer, pointing-trowel
veldofficier	a field officer, ranking under general officers but above the lowest commissioned officers
vlegelsman	an adult, yet knavish rogue
Romaan	a native speaker of a Romance language
Romaan	a member or descendant of one of those peoples, or of the Latin sub()race
Romaan	, cognate with and
verlening	allotment
skai	leatherette
foutmarge	a margin of error
streven	to strive [+ / (for) before a noun / + (to/for) before a verb]
streven	to study hard
streven	to move (forward)
ondeugdelijk	defective, inferior, unsound
dienstrooster	duty roster
toezeggen	to promise, commit
pachter	leaseholder, especially a tenant farmer
onderaannemer	subcontractor
schoolbus	school bus
schoolbus	a money box used for donating money to an education fund
pendelaar	commuter
pendelaar	person using a pendulum for divination or dowsing
forens	commuter
exploitatie	exploitation
exploiteren	to exploit
gedeputeerd	deputed
aanblijven	to remain in office
spaarrekening	savings account
marginaal	marginal, in or at the margin or edge(s)
marginaal	at the edge; borderline; destitute
marginaal	socially outcast
speelstad	host city (for a championship)
speelstad	playground built as a small town
treurigmakend	depressing
warboel	disorderly mess
inlegzool	extra sole to go inside a shoe (against smell or to make it fit)
jazzzanger	(male) jazz singer
jazzzangeres	(female) jazz singer
zigeunerfamilie	gypsy family
evenmin	neither
vierkantswortel	square root
desastreus	disastrous
afgekeurd	rejected, deprecated
gokken	to gamble
gokken	to guess, hazard a guess
culmineren	to culminate, to reach one's highest altitude, to pass through the meridian
culmineren	to culminate, to reach one's highpoint
regelmaat	regularity
Parijse	a Parisienne; a woman from Paris
boulevardpers	yellow press
scandaleus	scandalous
liederlijk	perverse, of loose morals, degenerate
berooid	devoid of money and possessions, destitute
berooid	poor, miserable
uitputting	exhaustion
combinatie	combination
roepnaam	usual given name (i.e. by which one is usually called)
flikflooien	to butter up, flatter hoping for profit in return
flikflooien	to practice flattery, sycophancy
flikflooien	to resort to dubious methods or ploys
onderwijl	in the meantime
vlooien	to catch/remove (someone's) fleas
vlooien	to flatter
snellen	to rush
verbintenis	obligation
verbintenis	connection, relationship, particularly in an emotional sense
losbol	rake (a man habituated to immoral conduct)
grootvorstin	grand duchess
variabiliteit	the quality variability
zeepboom	a soapberry tree, of genus
lexicograaf	a lexicographer: (co-)author of a lexicon, practitioner of lexicography
stokslag	a cane stroke or hit with another type of stick, such as hickory or even a clubber
janhagel	the common man
janhagel	a sheet-shaped, primitive type of pastry, made from a baked mass of dough balls
lelijk eendje	ugly duckling
gokschuld	(mostly in the plural: gokschulden) A gambling debt
goktent	a gambling joint, smaller or less mundane then a casino
kontneuken	to fuck in the arse
kontekletser	a fairly long, usually split coattail which tends to tap the wearer's bottom; hence, tails, a tuxedo
kletsregenen	to rain noisily, to pour
wijnhandelaar	wine trader
begane grond	first floor, ground floor
verdiend	merited, (well-)earned
doodbidder	undertaker's man (who comes to collect dead bodies)
dichtbundel	anthology of poems
plooi	crease, fold
plooi	wrinkle
plooien	to pleat, fold
plooien	to gather wrinkles
grimlach	a scornful, grim or bitter smirk
grimlach	a wide smile
snikken	to sob
romantiek	Romanticism
cynisch	cynical
cynisch	Cynic, pertaining to Cynicism
zandzak	a sandbag
verdwijning	disappearance
borstbeeld	bust (a sculptural portrayal of a person's head and shoulders)
mystificatie	mystification (deception about the provenance of a certain piece of literature)
depressiviteit	tendency towards depression
milieuvervuiling	a case of, or the phenomenon, environmental pollution
pieken	to reach a peak, culminate
pieken	to climax, (have) reach(ed) the peak (level) etc.
knikker	a marble
knikker	various similarly shaped objects, including
knikker	a lump or stone
dolheid	madness, insanity
dolheid	mental craziness, folly
dolheid	any strong, even excessive emotional state
kerkganger	churchgoer
gaande	amazing, lit
bedstee	a closet-bed; a box-bed
biograaf	biographer
ril	rille
ril	groove in soil, furrow
ril	brook, streamlet, rill
teloorgaan	to become lost
teloor	to a loss, to waste
uitdelgen	to amortize (US), amortise (UK)
binnenzak	an inside pocket, inner pocket
rijpen	to ripen
huiselijk	domestic, residential, pertaining to the home or to residences
huiselijk	cozy, homely
handschrift	handwriting
handschrift	manuscript
handschrift	autograph, signature
ongebruikelijk	unusual
krachtpatser	bruiser, muscleman
schillen	to peel, pare (e.g. an apple)
zakmes	pocketknife
eenenveertigste	forty-first
trots dat	anyhow
refereren	to refer to
Babylonisch	Babylonian
ziggoerat	ziggurat
teruglopen	to walk back
teruglopen	to recede, decline
ongedeeld	undivided
kiesrecht	the legislation governing the electoral process
kiesrecht	the right to vote, suffrage
zoonlief	a parent's beloved son; sonny boy
geadopteerde	adoptee
adoptieouder	an adoptive parent
ouderschap	parenthood
ouderplicht	parental duty
schuifdak	a retractable roof, as to cover an open-air sports field in bad weather
adoptief	adoptive, by or relating to adoption
gojs	goy, gentile in the Jewish sense of ethnic non-Jew
gojims	goy, gentile in the Jewish sense of ethnic non-Jew
goj	a goy, gentile in the Jewish sense of ethnic non-Jew
grootvorst	the princely ruler's title grand prince
grootvorst	any great ruler, as of a mighty empire
grootvorst	a master, champion in some discipline
Leids	of Leiden
ezelsoor	donkey's ear
ezelsoor	dog-ear
tokkelen	to pluck strings
tokkelen	to strum instruments
tokkelen	to tick, tap staccato
bikkel	talus, a bone in a sheep's heel
bikkel	such a bone (often worked and) used as in a dice-like game of chance
bikkel	any artificial, similar throwing device; a die
Cycladen	the Cyclades, an Aegean island chain
kardinaalschap	a cardinalate, dignity and office of cardinal
kardinaalschap	the cardinalate, the collective of Roman Catholic cardinals comprising the consistory
stationsroman	a light novel without literary ambition, strictly for entertainment, usually romantic and/or adventurous, often chosen as a pastime by travelers
stamhoofd	a tribal chief or leader
stamoudste	a tribal elder, senior tribesman by age and/or rank, typically member of a tribal council which may counsel or even supervise the tribal chief(s)
intensivist	an , an intensive-care doctor
intensive care	intensive care unit, ICU
grootbrengen	to raise, bring up (a) young(ster)(s), from infancy to maturity
grootbrengen	to educate, rear, school, coach etc. offspring or other young charges on the path to adult life
grootbrengen	the passive grootgebracht worden means to grow up, mature (to majority)
kraanman	a crane operator, as on a building site
verbrandingskamer	combustion chamber
Goudkust	the Gold Coast, a colonized coastal part of West Africa, most of which became Ghana
goudzoeker	gold digger, gold prospector
goudmijn	goldmine
goudkoorts	a gold fever, gold rush; obsessional search for gold ore
goudkoorts	an excessive lust for profit
koortsig	feverish, medically affected by fever
koortsachtig	feverous, suffering from fever
koortsachtig	(by far the most common use) frenetic, feverish, nervous, haste-stressed
koortsachtig	resembling fever
koortslijder	a fever-strikken patient
koortslijder	someone in a feverish hurry
Gerardus	similar to Gerard
bakstenen	made of brick(s), brick
tronk	trunk, tree trunk
tronk	tree stump
tronk	prison, dungeon, stocks
schatrijk	loaded, very rich
gefortuneerd	fortunate, favored by fate
gefortuneerd	possessing a fortune, very affluent
vestale	vestal virgin, vestal
schatplichtig	tributary, obliged to pay a form of tribute
schatplichtig	obliged, having some (notably moral) debt
radja	the Hindu princely title rajah, in various meanings, yet often rendered as king
echtman	a married (usually adult) man
echtman	, the Archaic plural echtelieden (unlike -mannen, which clearly suggests males) now actually applies to both sexes (used grammatically neutral), meaning spouses or married people
rijkaard	a rich, wealthy man
rijkbedeeld	richly endowed, well-served, given a generous portion etc.
janmaat	the (common) sailor
janmaat	used collectively for the sailing/nautical community
koksmaat	(mainly nautical) A cook's mate, a kitchenhand aboard
landras	a landrace
bedoeïen	a bedouin, member of a nomadic Arab desert tribe
waterdrager	water bearer; servant etc. who carries water for others (troops, workers...) to drink or wash with
waterdrager	any lowly servant
waterdrager	flunky; humble and slavish follower, employee, sportsman who plays in function of the team stars etc.
veulengeld	the sum due to the equine stud's owner after the birth of a foal it sired
veulendragend	which carries, i.e. is pregant of, (a) foal(s)
stokstijf	as stiff as a stick
stokstijf	stock-still, immobile
stokstijf	immovable, stubborn, tenacious
uurrooster	a roster, timetable spelling out who does/have what activity when
faillissement	a bankruptcy
faillissement	the demise, the undoing of something or someone
stadjer	an inhabitant of the city of Groningen, the Netherlands
hiëroglief	hieroglyph
maalsteen	millstone
béarnaise	the béarnaise sauce
molensteen	millstone
wastafel	washbasin
damassé	. The fabric , which is woven figured like damask
Mérida	the city in Spain's western region Estremadura, in Badajoz province
Mérida	Latin American cities named after the above
vlijmscherp	razor-sharp, said of blades and other sharpened objects
vlijmscherp	painfully sharp or acute, notably said of sensorial functions
vlijmscherp	precisely, either usefully, dangerously or harmfully, cutting, biting, burning, penetrating etc., said of speech, reasoning etc.
vlijm	a scalpel (sharp small knife with single 3-5 cm long cutting surface as used for surgery)
vlijm	a fleam or lancet (sharp instrument with two-sided, 1-3 mm long cutting surface, as used to open a vein for taking blood sample)
vlijm	any sharp or poignant organ, such as a tooth or snake's tongue
damast	the fabric damask
damast	a similarly decorative, 'floral' pattern, notably made on finely worked metal using mordant chemicals
damast	alternative form of damasten 'made of damask'
damasten	made of damask
damastachtig	like damask
toonbeeld	a paragon, model, example to be followed or imitated
toonbeeld	an imitation, reflection, sample, illustration
begrafenisondernemer	a funeral director, an undertaker
superheld	a superhero
brandstapel	pile used for burning at the stake
brandstapel	burning at the stake as a method of execution
sluikstort	an illegal garbage dump
sluikstorten	to dispose of waste illegally
negenvoud	a ninefold
negenvoudig	ninefold
enkelvoudig	singular, simple as opposed to any multiple
dromer	a dreamer, who has (a) dream(s)
dromer	a dreamy person, focused especially on dreaming, even at the expense of reality
dromer	a seer who sees visions in dreams
akkefietje	a chore, small job
akkefietje	something insignificant
akkefietje	a minor problem, something that went wrong
postuum	posthumous, after death
postuum	posthumously, after death
proefballon	a trial balloon, a balloon used as a probe or to carry some test - or experimental device
proefballon	(often in the diminutive: proefballonnetje) A trial balloon, feeler, kite, to test reactions
huzaar	a hussar, light cavalrist
opcentiem	(generally in the plural: opcentiemen) An addition of 1 percent to a tax, which is imposed by another public authority, e.g. by way of municipal or provincial supplement to the Belgian income tax
centiem	a centime, of a frank (the currency franc), as a coin or theoretic value
centiem	a pittance, insignificant sum
cetologie	cetology
ongetrouwd	unmarried, not joined by marriage; may mean 'living in sin'
ongetrouwd	unwed, single, having no spouse; often taken for widowed
tweevoet	bipod
muismat	mouse mat
trits	triad, triplet, trine
trits	three of a kind
trits	a grouping of more than three elements
tweevoeter	a biped
tweevoets	(being) two feet wide
tweepoot	a biped, usually said about animals other than man which also walk on two feet/legs
tweepoot	a two-legged standard, e.g. for a bicycle
tweepotig	bipedal, having (and walking on) two legs/feet, mainly said about other creatures then man
tweevoetig	bipedal, said about man and other bipeds creatures
tweevoetig	supported by two legs
tweevoetig	having two metric feet
tussenpaus	an 'intermediary' pope, whose pontificate (term of office) is so short or uneventful he's rarely mentioned except in lists of popes
tussenpaus	an incumbent whose main function is not to exerce the office but to 'keep the seat warm' or prepare the way for a far more notable successor, but fully titled, without being formally styled 'ad interim'
interrex	an , temporary head of state during the interregnum between two Roman consulates or from the death of a Polish king till the election and enthronement of his successor
poppenkast	a portable puppet theatre and puppets for use in it
poppenkast	a puppet-show, notably of the Punch and Judy type
poppenkast	a bad, excessive or hilarious 'show', pointlessly theatrical conduct
poppenspel	a puppet show
verklikken	to denounce, act as informer, rat on
verklikken	to observe, spy upon, spot, track
verklikken	to catch, trick
uitdossen	to dress up, costume fancifully
uitdossen	to ornate, dote etc.
uitdossen	to wear fanciful costume
kernkabinet	the inner cabinet, the exclusive gremium of major ministers within a cabinet, as institutionalized in Belgian politics
kernkabinet	a similar cabinet committee for a specified sphere of government policy interest, e.g. socio-economic
kraakbeen	cartilage
kraakbeen	a piece of gristle
Côte d'Or	the département (equivalent of a county) in France's eastern region Bourgogne (Burgundy)
