# lang=en
free	unfree
live	broadcast
live	animated
fear	contemn
fear	belittle
pull	shove
pull	repel
pull	push
flow	ebb
flow	Thesaurus:discontinuity
full	empty
full	incomplete
full	partial
full	empty
full	starving
full	hungry
full	tight
full	small
full	close-fitting
full	tight-fitting
decrease	go up
decrease	soar
decrease	rise
decrease	shoot up
decrease	increase
decrease	grow
decrease	Thesaurus:increase
decrease	raise
decrease	up
decrease	increment
decrease	Thesaurus:augment
decrease	increase
everyone	no one
none	some
none	all
nobody	anybody
nobody	anyone
nobody	everyone
nobody	everybody
nobody	someone
nobody	somebody
many	few
field	bat
heaven	hell
heaven	horror
heaven	nightmare
feminine	manly
feminine	male
feminine	butch
feminine	masculine
feminine	masculine
feminine	neuter
horizontal	vertical
orbit	deorbit
vertical	horizontal
analog	digital
analog	discrete
socialism	capitalism
socialism	free enterprise
de jure	de facto
stop	move
stop	proceed
stop	continue
stop	go
stop	proceed
stop	continue
stop	move
stop	continue
stop	move
stop	continue
batch	continuous
upwelling	downwelling
settle	remove
settle	disturb
settle	agitate
settle	wander
continuous	discontinuous
continuous	non-continuous
continuous	noncontinuous
defeat	victory
ductile	brittle
array	disarray
rational number	irrational number
domain	range
domain	codomain
read-only memory	write-only memory
ebb	flood
ebb	flow
fact	fiction
fact	opinion
objective	subjective
subjective	objective
similarity	difference
gain	lose
quote	end quote
quote	unquote
asset	liability
deposit	withdraw
withdrawal	deposit
leader	follower
black hole	white hole
white hole	black hole
neutronium	antielement 0
neutronium	antielement zero
neutronium	antineutrium
neutronium	antineutronium
neutronium	antinilium
synergy	antisynergy
synergy	asynergy
synergy	dysergia
synergy	dysergy
floor	ceiling
moisturize	desiccate
moisturize	dry
moisturize	dehumidify
homosexual	straight
homosexual	heterosexual
homosexual	Thesaurus:heterosexual
community	anticommunity
community	noncommunity
incorrigible	corrigible
incorrigible	correctable
wire	unwire
start	stop
start	end
start	cease
start	conclude
start	complete
start	finish
colloquy	soliloquy
accusatorial	inquisitorial
womanly	manly
womanly	masculine
womanly	male
evil	good
instrumental	noninstrumental
masculinity	feminility
masculinity	feminineness
masculinity	womanlikeness
palpable	impalpable
Jehovist	adonist
sunset	sunrise
artificial	natural
unwise	wise
penultimate	second
aggression	nonaggression
nocturnal	diurnal
diurnal	nocturnal
diurnal	nightly
diurnal	nocturnal
eclectic	Thesaurus:homogeneous
eclectic	homogeneous
eclectic	uniform
eclectic	exclusive
eclectic	standard
eclectic	orthodox
original	copy
original	simile
original	reproduction
original	derivative
original	ultimate
intuitive	unintuitive
intuitive	nonintuitive
intuitive	counterintuitive
context	isolation
unreal	real
unreal	Thesaurus:genuine
fast	slow
view	model
view	controller
numb	sensible
numb	sensitive
physics	nonphysics
breast	wing
breast	thigh
breast	dark meat
essential	inessential
essential	non-essential
essential	nonessential
essential	unessential
IMHO	IMAO
PS	body
hence	hither
put on	take off
put on	Thesaurus:undress
put on	take off
put on	doff
put on	take off
order	disorder
order	chaos
untrustworthy	sincere
untrustworthy	true
untrustworthy	reliable
untrustworthy	accurate
untrustworthy	faithful
null	antinull
null	non-null
tank	glass cannon
prequel	sequel
annex	separate
annexation	separation
con	pro
test	recess
without	within
without	with
without	endowed
without	characteristic
without	having
philia	phobia
lunar	solar
downstairs	upstairs
upstairs	downstairs
dawn	dusk
Christianize	de-Christianize
discrete	continuous
discrete	integrated
discrete	multiplexed
homologous	heterologous
linear	nonlinear
defendant	claimant
defendant	plaintiff
defendant	prosecutor
chaos	cosmos
chaos	order
dl	ul
mayoress	lord mayor
auspicious	disastrous
auspicious	ruinous
auspicious	inauspicious
auspicious	ominous
universal	nonuniversal
terminal	non-terminal
terminal	early
terminal	early
terminal	initial
tar	untar
screw	unscrew
envy	kindness
generator	extinguisher
generic	particular
generic	Thesaurus:specific
generic	specific
generic	concrete
generic	proprietary
generic	branded
generic	non-generic
generic	gendered
real	unreal
real	imaginary
real	nonreal
real	sham
real	fake
real	counterfeit
real	artificial
real	feigned
real	sham
real	staged
real	made-up
real	imaginary
real	fictitious
real	pretend
real	imaginary
truth	falsehood
truth	nonsense
truth	half-truth
truth	lie
truth	untruth
truth	falsity
truth	drivel
macrocosm	microcosm
intelligent	stupid
intelligent	dumb
intelligent	unintelligent
quick	slow
quick	dead
online	offline
online	hardcopy
online	brick and mortar
online	living under a rock
depose	restore
profit	loss
consciousness	unconsciousness
verifiable	falsifiable
transparent	opaque
transparent	opaque
transparent	obscure
transparent	nontransparent
utopia	dystopia
utopia	unutopia
steam	electric
insulator	conductor
accommodate	discommodate
whence	whither
laughterless	laughterful
