# lang=ca
gratis	free, for free
corner	snowy mespilus ()
mil	thousand
mil	thousand
miss	beauty queen
que	that, which
que	that, who, whom
anemone	sea anemone
regal	present, gift
risible	laughable
este	this (one), these (ones)
bomber	firefighter
carnal	consanguineous
refer	to redo, to do again
refer	to recover, to get better to regain one's strength
mangle	mangrove
tal	like that, in that way
tal	anything, whatever
illa	island
illa	block
soviet	Soviet
soviet	Soviet
comprador	buyer
vendre	to sell
finir	to end, finish, conclude
consort	partner,
consort	spouse
consort	accomplice
banc	bench
guia	guiding
guia	guidebook
guia	guide
puny	wrist
recipient	, container
ferro	something made of iron
pupil	orphan
banda	band, sash
barca	a ship's company
barra	bar counter, wet bar
barra	barbell
exempt	freestanding
exempt	in the round
verge	virgin
verge	virgin (not used, exploited, or processed)
verge	virgin
aura	gentle breeze
aura	popularity
casual	unplanned
gran	big, large
gran	older; oldest, eldest, senior
penal	, criminal
penal	penalty
sensible	sentient
sensible	sensitive
establishment	(the)
cosmos	, universe
caldera	cauldron
caldera	boiler
caldera	a type of fish or seafood soup
buc	an object that has a cavity
buc	belly; abdomen
buc	fuselage
alta	certification, registration
alta	fitness for duty
impotent	, powerless, helpless
gust	taste
gust	flavour
gust	relish, pleasure
mal-	poorly, badly
mariner	marine, sea
mariner	seafaring
mariner	seaworthy
pita	century plant
altro	other
blonda	blond lace
bovo	foolish
bovo	fool, simpleton
bovo	red gurnard
pont	a bridge
pont	any of various objects or structures resembling a bridge, such as the bridge of violin, a dental prosthesis, a piece of tissue connecting two parts of an organ, etc.
pont	a day which falls between a weekend and holiday, which employees will often take off in order to have a long weekend
sinistra	left hand
gentil	kind, courteous
gentil	gentile
gentil	gentile
beneficial	of a benefice
pertinent	relevant,
