# lang=ru
сожаление	сострада́ние
сожаление	жа́лость
станок	маши́на
станок	лафет
станок	станина
стройка	строи́тельство
стройка	постро́йка
стройка	объе́кт
стройка	строи́тельная площа́дка
счастье	успе́х
счастье	благода́ть
счастье	благополу́чие
счастье	блаже́нство
счастье	благоде́нствие
счастье	уда́ча
счастье	слу́чай
съезд	скат
съезд	го́рка
съезд	ра́мпа
съезд	вы́езд
съезд	слёт
участок	часть
участок	о́бласть
участок	отре́зок
учёба	обуче́ние
замечательный	отли́чный
замечательный	удиви́тельный
замечательный	великоле́пный
замечательный	прекра́сный
замечательный	потряса́ющий
замечательный	порази́тельный
замечательный	примеча́тельный
